id,user_id,kind,created_at,started_at,ended_at,note,payload,feeding_kind,breast_side,session_seconds,feeding_amount,feeding_unit,feeding_amount_ml,bottle_content,diaper_kind,expression_side,expression_amount,expression_unit,expression_amount_ml
0044b3bd-9500-48a5-8562-686499606cde,,expression,2025-11-24 12:52:22.840147+00,2025-11-24 12:22:02+00,,,{},,,,,,,,,both,100,ml,100
0065b99a-7fe0-41aa-ad50-e41d8567762a,,feeding,2025-10-12 03:01:20.883036+00,2025-10-12 03:00:35.594+00,2025-10-12 03:01:19.685+00,,{},breast,left,17,,,,,,,,,
011dd4a6-bc6c-4e43-b4f8-dcc45da6aa1b,,feeding,2025-10-13 02:55:23.061838+00,2025-10-12 22:30:00+00,,,{},bottle,,,60,ml,60,breast_milk,,,,,
019b0730-d4f8-40e1-83bb-5d51224b18c5,,feeding,2025-11-21 20:13:24.150343+00,2025-11-21 20:13:07.85+00,2025-11-21 20:13:22.909+00,,{},breast,right,13,,,,,,,,,
01a9d2ee-cc3c-4819-8afa-bf930371b24f,,feeding,2025-11-17 18:58:39.954955+00,2025-11-17 18:39:00+00,2025-11-17 18:58:38.073+00,,{},breast,right,1176,,,,,,,,,
02ada39b-d50c-4e6c-b32f-0f501e0bc405,,expression,2025-10-22 18:24:32.681872+00,2025-10-22 17:55:00+00,,,{},,,,,,,,,both,70,ml,70
036b14af-34d6-4f5e-bf86-2646f4599659,,feeding,2025-10-20 21:32:43.215669+00,2025-10-20 21:27:03.692+00,2025-10-20 21:32:42.512+00,,{},breast,left,166,,,,,,,,,
03b6cd9b-de8a-47d0-abc9-8946b51d8cc3,,feeding,2025-11-22 19:04:30.757705+00,2025-11-22 17:33:00+00,2025-11-22 19:04:30.271+00,,{},breast,left,1881,,,,,,,,,
03d95e05-f63e-43c6-8cb1-996786c04896,,diaper,2025-10-27 20:39:49.290937+00,,,,{},,,,,,,,wet,,,,
049861ab-e04d-4df6-a07c-8815deb2d889,,expression,2025-10-13 06:51:57.831248+00,2025-10-13 05:20:00+00,,,{},,,,,,,,,both,80,ml,80
04d23c6b-1870-4edd-9913-103ac3c94a8f,,diaper,2025-10-17 18:08:24.929142+00,2025-10-17 17:48:41+00,,,{},,,,,,,,wet,,,,
04d23f15-64cd-4278-9d20-002be6c50d83,,expression,2025-11-22 04:08:09.907188+00,2025-11-22 03:47:52+00,,,{},,,,,,,,,both,235,ml,235
050b5c7d-e2f5-489b-92ce-cddc3aee9bbd,,expression,2025-11-10 14:16:19.240725+00,2025-11-10 13:45:00+00,,,{},,,,,,,,,both,100,ml,100
0516a541-0fb5-47c5-8d5c-0fdd78dbcfd4,,diaper,2025-11-05 07:36:23.794074+00,2025-11-05 07:10:00+00,,,{},,,,,,,,mixed,,,,
0533c4fb-321d-41c0-81ad-5ea98cef55b3,,expression,2025-11-05 18:08:28.858444+00,2025-11-05 16:05:00+00,,,{},,,,,,,,,both,65,ml,65
055ee9a6-55a7-4053-8526-b5fca5183fb5,,feeding,2025-10-31 21:26:13.404263+00,2025-10-31 21:10:05.348+00,2025-10-31 21:26:12.119+00,,{},breast,right,901,,,,,,,,,
05740dd0-ee7c-4277-96e5-9a7e40c7279d,,feeding,2025-10-28 02:26:33.895275+00,,,,{},bottle,,,35,ml,35,breast_milk,,,,,
0577a0fe-d562-4cd2-954c-6875c76b72c8,,diaper,2025-11-03 21:07:53.869761+00,2025-11-03 20:46:56+00,,,{},,,,,,,,mixed,,,,
05f64983-19ab-40bb-b87a-5cacc03f023e,,feeding,2025-10-29 12:27:04.105456+00,2025-10-29 12:17:38.26+00,2025-10-29 12:27:02.652+00,,{},breast,right,132,,,,,,,,,
05f91040-ff5e-49ff-b5cc-c06e8a85b206,,diaper,2025-11-06 20:19:33.057621+00,2025-11-06 18:15:00+00,,,{},,,,,,,,wet,,,,
064e3153-a3da-4bbe-a60e-ca974b58fb1a,,feeding,2025-12-01 22:21:06.316718+00,2025-12-01 21:17:57.633+00,2025-12-01 22:21:04.792+00,,{},breast,left,3785,,,,,,,,,
064e5df9-84dd-4ee0-9269-b552969e1592,,feeding,2025-10-25 20:12:36.188793+00,,,,{},bottle,,,50,ml,50,breast_milk,,,,,
06dd444f-6f2e-4394-9e91-209815dffd84,,feeding,2025-10-15 18:43:33.944519+00,2025-10-15 18:31:00+00,,,{},bottle,,,80,ml,80,breast_milk,,,,,
06fbb3e0-9021-4da1-a1cd-9c1c48468684,,feeding,2025-11-21 00:25:45.741064+00,2025-11-21 00:08:51.251+00,2025-11-21 00:25:44.642+00,,{},breast,right,1012,,,,,,,,,
070c7316-1f0c-47f6-a4ed-c723901381b5,,expression,2025-10-20 16:10:35.285052+00,2025-10-20 15:39:48+00,,,{},,,,,,,,,both,110,ml,110
075a0218-91a6-41d9-950c-d3f902893f73,,feeding,2025-10-31 21:42:29.0342+00,2025-10-31 21:29:14.86+00,2025-10-31 21:42:28.046+00,,{},breast,left,363,,,,,,,,,
07a0998d-d28d-4294-b51d-aa7574689153,,expression,2025-11-08 10:10:32.658221+00,2025-11-08 09:50:16+00,,,{},,,,,,,,,both,170,ml,170
0809b56f-4a17-4e3f-b915-f1dc9420b8a7,,feeding,2025-11-07 17:37:12.743459+00,2025-11-07 17:12:49.616+00,2025-11-07 17:37:11.447+00,,{},breast,right,1458,,,,,,,,,
081d0ce9-6903-4dc6-bf1b-da1a5490c1f8,,feeding,2025-12-02 11:11:51.084256+00,2025-12-02 10:52:38.049+00,2025-12-02 11:11:49.721+00,,{},breast,right,1149,,,,,,,,,
085f097a-5f07-47c1-9f07-b8a565c4527b,,diaper,2025-10-21 06:37:09.174094+00,2025-10-21 06:25:00+00,,,{},,,,,,,,wet,,,,
0893c905-928f-43bd-82fc-c31afcaf6a00,,feeding,2025-11-08 03:49:41.454653+00,2025-11-08 03:11:58.125+00,2025-11-08 03:49:40.081+00,,{},breast,left,2259,,,,,,,,,
08a58795-0aa3-4e18-bbf3-44a7131a4d7e,,feeding,2025-11-02 00:12:31.451868+00,2025-11-02 00:04:27.84+00,2025-11-02 00:12:30.164+00,,{},breast,right,427,,,,,,,,,
08bf1e0b-96e9-43a4-b73e-e3cf9a7abe5c,,feeding,2025-11-01 20:09:51.72822+00,2025-11-01 20:01:35.999+00,2025-11-01 20:09:50.801+00,,{},breast,right,450,,,,,,,,,
08db6c19-653b-4e32-851f-c4ffbecad80c,,feeding,2025-10-23 19:23:32.828392+00,2025-10-23 19:06:37.724+00,2025-10-23 19:23:31.522+00,,{},breast,right,746,,,,,,,,,
0907e510-39c6-490d-92ed-b185a6ef5f52,,feeding,2025-10-19 02:39:19.268842+00,2025-10-19 02:29:08+00,,,{},bottle,,,20,ml,20,breast_milk,,,,,
0943c575-c548-47b5-9e18-daff368e0cb3,,expression,2025-10-27 05:35:13.561056+00,2025-10-27 04:54:20+00,,,{},,,,,,,,,both,90,ml,90
09602958-7f6d-4164-8a06-d44790afbd6a,,feeding,2025-11-29 16:55:27.450447+00,2025-11-29 16:33:54.463+00,2025-11-29 16:55:26.675+00,,{},breast,right,1227,,,,,,,,,
0961a529-deb4-44c4-8a38-d03d05068313,,feeding,2025-11-14 21:15:05.885308+00,2025-11-14 21:07:37.302+00,2025-11-14 21:15:04.553+00,,{},breast,right,445,,,,,,,,,
09713eb3-7b1c-48c4-afac-b48bac45b690,,diaper,2025-10-15 07:24:27.712303+00,2025-10-15 07:05:00+00,,,{},,,,,,,,wet,,,,
0a0a8327-49ff-4627-ae1f-ca93127a278b,,expression,2025-11-05 00:11:54.996568+00,2025-11-05 00:01:40+00,,,{},,,,,,,,,both,95,ml,95
0a833d48-afbd-4723-8951-fb87f1a72942,,diaper,2025-10-11 07:40:44.753267+00,,,,{},,,,,,,,mixed,,,,
0aa9c456-8076-4999-8868-4ff3db7061dc,,diaper,2025-10-16 04:43:09.098647+00,2025-10-16 04:40:00+00,,,{},,,,,,,,wet,,,,
0aca5eac-27ac-4bab-9f24-67dd173b7d56,,expression,2025-10-21 01:27:30.036852+00,2025-10-21 00:00:00+00,,,{},,,,,,,,,both,160,ml,160
0be8f563-151a-44fc-9048-c333089fe6b9,,feeding,2025-10-22 00:36:59.915753+00,2025-10-22 00:25:00+00,2025-10-22 00:36:59.497+00,,{},breast,left,706,,,,,,,,,
0c1f8bba-98da-40bb-bec1-a3e9befc0c16,,expression,2025-11-08 17:02:00.401587+00,2025-11-08 16:51:45+00,,,{},,,,,,,,,both,65,ml,65
0c5c2b51-d979-4eb1-bca1-bf4fa25055f1,,feeding,2025-10-26 01:14:01.902042+00,2025-10-26 00:13:00+00,,,{},bottle,,,70,ml,70,breast_milk,,,,,
0c824f3e-178f-4067-b4d8-6d1c709f90a9,,feeding,2025-10-15 04:27:47.549981+00,2025-10-15 04:17:00+00,,,{},bottle,,,20,ml,20,breast_milk,,,,,
0cf3231a-7ba8-4c3c-993d-67ef84424ce1,,feeding,2025-11-08 10:09:24.897374+00,2025-11-08 09:48:51+00,,,{},bottle,,,120,ml,120,breast_milk,,,,,
0d351d56-a66c-40a1-9ee9-9e865cc8f69a,,expression,2025-10-27 02:17:01.657979+00,2025-10-27 01:16:00+00,,,{},,,,,,,,,both,90,ml,90
0dd48ae5-67f9-4e79-9e3b-670ac7fb46f7,,feeding,2025-10-23 01:35:56.742724+00,2025-10-23 01:16:26.088+00,2025-10-23 01:35:55.358+00,,{},breast,right,1167,,,,,,,,,
0e7b0d99-8de8-4b56-8858-4003ee9acaec,,expression,2025-10-25 08:50:46.556814+00,2025-10-25 08:20:36+00,,,{},,,,,,,,,both,100,ml,100
